LotFrontage,LotArea,LotShape,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,SalePrice
75,9742,0,8,2002,2002,281,3,95,3,1,1,0,1777,1777,4,1,1795,0,1795,0,2,0,3,7,1,4,2,2,534,3,3,2,171,159,230000
44,4224,0,5,1976,1976,0,2,95,3,1,6,840,200,1040,2,1,1060,0,1060,1,1,0,2,6,1,3,1,2,572,3,3,2,100,110,129900
0,8246,1,5,1968,2001,0,2,85,3,2,3,188,204,1060,4,1,1060,0,1060,1,1,0,3,6,1,3,1,1,270,3,3,2,406,90,154000
110,14230,0,8,2007,2007,640,3,95,3,1,1,0,1566,1566,4,1,1600,0,1600,0,2,0,3,7,1,4,2,3,890,3,3,2,0,56,256300
60,7200,0,5,1951,2000,0,2,85,3,2,4,234,180,900,2,1,900,0,900,0,1,0,3,5,0,0,1,2,576,3,3,2,222,32,134800
98,11478,0,8,2007,2008,200,3,105,3,1,6,1218,486,1704,4,1,1704,0,1704,1,2,0,3,7,1,4,2,3,772,3,3,2,0,50,306000
47,16321,1,5,1957,1997,0,2,85,3,4,4,1277,207,1484,2,1,1600,0,1600,1,1,0,2,6,2,4,2,1,319,3,3,2,288,258,207500
60,6324,1,4,1927,1950,0,2,85,3,1,1,0,520,520,1,0,520,0,520,0,1,0,1,4,0,0,1,1,240,2,3,2,49,0,68500
50,8500,0,4,1920,1950,0,2,85,3,1,1,0,649,649,2,0,649,668,1317,0,1,0,2,6,0,0,1,1,250,3,2,0,0,54,40000
0,8544,1,5,1966,2006,0,2,85,3,1,1,0,1228,1228,3,1,1228,0,1228,0,1,1,3,6,0,0,1,1,271,3,3,2,0,65,149350
85,11049,0,8,2007,2007,0,3,105,3,3,1,0,1234,1234,4,1,1234,0,1234,0,2,0,3,7,0,0,2,2,484,3,3,2,0,30,179900
70,10552,1,5,1959,1959,0,2,85,3,1,3,1018,380,1398,3,1,1700,0,1700,0,1,1,3,6,1,4,2,2,447,3,3,2,0,38,165500
60,7313,0,9,2005,2005,246,4,105,3,1,6,1153,408,1561,4,1,1561,0,1561,1,2,0,4,6,1,4,3,2,556,3,3,2,203,47,277500
108,13418,0,8,2004,2005,132,3,105,3,3,1,0,1117,1117,4,1,1132,1320,2452,0,3,1,3,9,1,4,3,3,691,3,3,2,113,32,309000
112,10859,0,5,1994,1995,0,2,95,3,1,1,0,1097,1097,4,1,1097,0,1097,0,1,1,2,6,0,0,1,2,672,3,3,2,392,64,145000
74,8532,0,5,1954,1990,650,2,85,3,1,3,1213,84,1297,3,1,1297,0,1297,0,1,0,2,5,1,3,3,2,498,3,3,2,0,0,153000
68,7922,0,5,1953,2007,0,2,85,3,1,6,731,326,1057,2,1,1057,0,1057,1,1,0,3,5,0,0,1,1,246,3,3,2,0,52,109000
65,6040,0,4,1955,1955,0,2,0,0,0,0,0,0,0,2,0,1152,0,1152,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,82000
84,8658,0,6,1965,1965,101,2,85,3,1,3,643,445,1088,4,1,1324,0,1324,0,2,0,2,6,1,3,2,2,440,3,3,2,0,138,160000
115,16905,0,5,1959,1959,0,2,85,3,4,4,967,383,1350,3,1,1328,0,1328,0,1,1,2,5,2,4,2,1,308,3,3,1,0,104,170000
0,9180,1,5,1983,1983,0,2,95,3,3,5,747,0,840,3,1,884,0,884,1,1,0,3,5,0,0,2,2,504,3,4,2,240,0,144000
0,9200,1,5,1975,1980,0,2,95,3,3,2,280,167,938,2,1,938,0,938,1,1,0,2,5,0,0,1,1,308,3,3,2,145,0,130250
70,7945,0,5,1959,1959,0,2,85,3,1,5,179,465,1150,4,1,1150,0,1150,1,1,0,2,6,0,0,2,1,300,3,3,2,0,0,141000
61,7658,0,9,2005,2005,412,4,105,3,1,6,456,1296,1752,4,1,1752,0,1752,1,2,0,4,6,1,4,2,2,576,3,3,2,196,82,319900
48,12822,1,7,2003,2003,0,3,105,3,1,6,1351,83,1434,4,1,1518,631,2149,1,1,1,3,6,1,5,2,2,670,3,3,2,168,43,239686
84,11096,0,8,2006,2006,0,3,95,3,3,6,24,1632,1656,4,1,1656,0,1656,0,2,0,3,7,0,0,2,3,826,3,3,2,0,146,249700
33,4456,0,4,1920,2008,0,2,85,3,1,1,0,736,736,3,1,736,716,1452,0,2,0,2,8,0,0,0,0,0,0,0,0,0,0,113000
66,7742,0,5,1966,1966,0,2,85,3,1,4,763,192,955,4,1,955,0,955,1,1,0,2,6,0,0,1,1,386,3,3,2,0,0,127000
0,13869,2,6,1997,1997,0,2,95,3,3,6,182,612,794,3,1,794,676,1470,0,2,0,2,6,0,0,3,2,388,3,3,2,0,75,177000
52,6240,0,6,1934,1950,0,2,85,3,1,1,0,816,816,2,1,816,0,1176,0,1,0,2,6,1,4,1,2,528,3,3,2,112,0,114500
110,8472,2,5,1963,1963,0,1,95,3,4,2,104,0,816,2,0,816,0,816,1,1,0,2,5,0,0,1,2,516,3,3,2,106,0,110000
68,50271,1,9,1981,1987,0,3,105,3,4,6,1810,32,1842,3,1,1842,0,1842,2,0,1,3,5,1,4,3,3,894,3,3,2,857,72,385000
60,7134,0,5,1955,1955,0,2,85,3,1,5,384,0,384,2,1,1360,0,1360,0,1,0,2,6,1,3,1,2,572,3,3,2,0,50,130000
100,10175,1,6,1964,1964,272,2,85,3,1,4,490,935,1425,3,1,1425,0,1425,0,2,0,2,7,1,4,2,2,576,3,3,2,0,0,180500
24,2645,0,8,1999,2000,456,3,95,3,1,6,649,321,970,4,1,983,756,1739,1,2,1,3,7,0,0,3,2,480,3,3,2,115,0,172500
89,11645,1,7,2004,2004,0,3,95,3,1,1,0,860,860,4,1,860,860,1720,0,2,1,3,7,0,0,2,2,565,3,3,2,0,70,196500
66,13682,2,10,2006,2006,1031,4,105,3,4,1,0,1410,1410,4,1,1426,1519,2945,0,3,1,3,10,1,4,3,3,641,3,3,2,192,0,438780
60,7200,0,5,1972,1972,0,2,85,3,3,5,632,148,780,4,1,780,0,780,0,1,0,2,4,0,0,1,1,352,3,3,2,196,0,124900
63,13072,0,6,2004,2004,0,2,95,3,1,5,941,217,1158,4,1,1158,0,1158,1,1,1,3,5,0,0,1,2,576,3,3,2,0,50,158000
60,7200,0,5,1920,1996,0,2,85,2,1,1,0,530,530,2,0,581,530,1111,0,1,0,1,6,0,0,1,1,288,3,3,0,0,0,101000
44,6442,1,8,2006,2006,178,3,95,4,2,6,24,1346,1370,4,1,1370,0,1370,0,2,0,3,6,1,4,2,2,484,3,3,2,120,49,202500
50,10300,1,7,1921,1950,0,2,85,3,1,1,0,576,576,3,1,902,808,1710,0,2,0,2,9,0,0,1,2,480,3,3,2,12,11,140000
0,9375,0,7,1997,1998,573,2,95,3,1,6,739,318,1057,4,1,1057,977,2034,1,2,1,3,8,0,0,2,2,645,3,3,2,576,36,219500
76,9591,0,8,2004,2005,344,3,105,3,3,1,0,1143,1143,4,1,1143,1330,2473,0,2,1,3,9,1,4,2,3,852,3,3,2,192,151,317000
0,19900,0,7,1970,1989,287,2,95,3,4,6,912,1035,1947,2,1,2207,0,2207,1,2,0,2,7,1,4,2,2,576,3,3,2,301,0,180000
72,10665,1,7,2003,2003,167,3,95,3,3,6,1013,440,1453,4,1,1479,0,1479,1,2,0,3,7,0,0,2,2,558,3,3,2,144,29,226000
47,4608,0,4,1945,1950,0,2,85,3,1,1,0,747,747,2,1,747,0,747,0,1,0,2,4,0,0,1,1,220,3,3,2,0,0,80000
81,15593,0,7,1953,1953,0,3,85,3,1,4,603,701,1304,2,1,1304,983,2287,0,2,0,2,7,1,3,3,2,667,3,3,2,0,21,225000
95,13651,1,7,1973,1973,1115,2,95,3,4,5,1880,343,2223,4,1,2223,0,2223,1,2,0,2,8,2,4,3,2,516,3,3,2,300,0,244000
69,7599,0,4,1982,2006,0,2,85,3,1,5,565,280,845,2,1,845,0,845,1,1,0,2,4,0,0,1,2,360,3,3,2,0,0,129500
74,10141,1,7,1998,1998,40,2,95,3,1,1,0,832,832,3,1,885,833,1718,0,2,1,2,7,1,3,3,2,427,3,3,2,0,94,185000
85,10200,0,5,1954,2003,104,2,85,3,1,5,320,404,1086,3,1,1086,0,1086,1,1,0,2,6,0,0,1,2,490,3,3,2,0,0,144900
60,5790,0,3,1915,1950,0,3,75,3,1,1,0,840,840,3,0,840,765,1605,0,2,0,2,8,0,0,1,1,379,3,3,2,0,0,107400
21,1596,0,4,1973,1973,0,2,95,3,4,6,462,0,462,2,1,526,462,988,1,1,0,2,5,0,0,1,1,297,3,3,2,120,101,91000
0,8475,1,4,1956,1956,0,2,85,3,1,5,228,724,952,4,1,952,0,952,0,1,0,2,4,0,0,1,1,283,3,3,2,0,0,135750
50,8635,0,5,1948,2001,0,2,85,3,1,4,336,295,672,2,1,1072,213,1285,1,1,0,2,6,0,0,1,1,240,3,3,2,0,0,127000
72,10778,0,4,1968,1968,0,2,85,3,1,1,0,1768,1768,2,0,1768,0,1768,0,2,0,2,8,0,0,0,0,0,0,0,2,0,0,136500
60,10440,0,5,1910,1981,0,2,85,3,1,1,0,440,440,3,1,682,548,1230,0,1,1,2,5,0,0,1,2,440,3,3,2,74,0,110000
100,13000,0,6,1968,1968,576,2,95,3,1,3,448,448,896,2,1,1182,960,2142,0,2,1,3,8,1,4,3,1,509,3,3,2,0,72,193500
32,4500,0,6,1998,1998,443,2,105,4,1,6,1201,36,1237,4,1,1337,0,1337,1,2,0,2,5,0,0,3,2,405,3,3,2,0,199,153500
78,10206,0,8,2007,2007,468,2,95,3,1,6,33,1530,1563,4,1,1563,0,1563,0,2,0,3,6,1,4,2,3,758,3,3,2,144,99,245000
80,8892,1,5,1960,1960,66,2,85,3,1,1,0,1065,1065,3,1,1065,0,1065,0,1,1,2,6,0,0,1,2,461,3,3,2,74,0,126500
0,8530,1,7,1995,1996,22,2,95,3,1,1,0,384,384,3,1,804,670,1474,0,2,1,2,7,1,3,3,2,400,3,3,2,120,72,168500
121,16059,0,8,1991,1992,284,3,95,3,1,1,0,1288,1288,4,1,1301,1116,2417,0,2,1,3,9,1,3,1,2,462,3,3,2,127,82,260000
122,11911,2,6,2005,2005,0,3,95,3,3,1,0,684,684,4,1,684,876,1560,0,2,1,3,6,1,4,3,2,400,3,3,2,100,38,174000
40,3951,0,6,2009,2009,76,3,95,3,3,1,0,612,612,4,1,612,612,1224,0,2,1,3,4,0,0,2,2,528,3,3,2,0,234,164500
105,8470,1,3,1915,1982,0,1,85,2,1,1,0,1013,1013,2,0,1013,0,1526,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,85000
60,8070,0,4,1994,1995,0,2,95,3,1,6,588,402,990,4,1,990,0,990,1,1,0,2,5,0,0,0,0,0,0,0,2,0,0,123600
60,7200,0,4,1950,1950,0,2,0,0,0,0,0,0,0,2,1,1040,0,1040,0,1,0,2,4,0,0,1,2,420,3,3,2,0,29,109900
85,8500,0,5,1961,1961,203,2,85,3,1,3,600,635,1235,2,1,1235,0,1235,0,1,0,2,6,0,0,1,2,480,3,3,2,0,0,98600
80,13360,1,5,1921,2006,0,2,95,3,1,5,713,163,876,4,1,964,0,964,1,1,0,2,5,0,0,1,2,432,3,3,2,0,0,163500
60,7200,0,6,1910,1998,0,2,85,2,2,3,1046,168,1214,4,0,1260,1031,2291,0,2,0,2,9,1,4,1,2,506,3,3,2,0,0,133900
69,9337,1,6,1997,1997,0,2,95,3,1,6,648,176,824,4,1,905,881,1786,1,2,1,3,7,0,0,2,2,684,3,3,2,0,162,204750
0,9765,2,6,1993,1993,68,4,95,4,1,5,310,370,680,3,1,680,790,1470,0,2,1,2,6,1,3,3,2,420,3,3,2,232,63,185000
78,10264,1,7,1999,1999,183,3,95,3,3,5,1162,426,1588,4,1,1588,0,1588,0,2,0,3,6,0,0,2,2,472,3,3,2,158,29,214000
73,10921,0,4,1965,1965,48,2,85,3,1,3,520,440,960,2,1,960,0,960,1,1,0,2,6,0,0,3,1,432,3,3,1,120,0,94750
85,10625,0,5,1920,1950,0,2,85,3,1,5,108,350,458,1,0,835,0,835,0,1,0,2,5,0,0,1,1,366,2,3,2,0,0,83000
77,9320,1,4,1959,1959,0,2,85,3,1,5,569,381,950,1,1,1225,0,1225,1,1,1,2,6,0,0,0,0,0,0,0,2,352,0,128950
0,10603,1,6,1977,2001,28,2,85,3,2,5,1200,410,1610,3,1,1610,0,1610,1,2,0,3,6,2,3,2,2,480,3,3,2,168,68,205000
77,9206,0,6,1985,1985,336,3,95,3,1,1,0,741,741,2,1,977,755,1732,0,2,1,3,7,1,3,3,2,476,3,3,2,192,46,178000
64,7018,0,5,1979,1979,0,2,0,0,0,0,0,0,0,2,1,1535,0,1535,0,2,0,2,8,0,0,1,2,410,3,3,2,0,0,118964
94,10402,1,7,2009,2009,0,2,95,3,1,1,0,1226,1226,4,1,1226,0,1226,0,2,0,3,6,0,0,2,3,740,3,3,2,0,36,198900
0,7758,0,7,1931,1950,600,2,85,3,1,2,224,816,1040,4,1,1226,592,1818,0,1,1,2,7,2,3,1,1,240,3,3,2,0,0,169500
75,9375,0,8,2003,2004,768,3,105,3,1,1,0,1053,1053,4,1,1053,939,1992,0,2,1,3,9,1,4,2,2,648,3,3,2,140,45,250000
60,10800,0,4,1885,1995,0,2,75,3,1,1,0,641,641,3,1,1047,0,1047,0,1,0,2,6,0,0,1,1,273,2,2,0,0,0,100000
50,6000,0,5,1948,1950,0,2,85,3,1,5,104,516,789,4,1,789,0,789,0,1,0,2,5,0,0,1,1,250,3,3,2,0,0,115000
85,8500,0,5,1919,2005,0,2,85,3,1,1,0,793,793,2,0,997,520,1517,0,2,0,1,7,0,0,0,0,0,0,0,0,0,0,115000
105,11751,1,6,1977,1977,480,2,95,3,1,4,705,1139,1844,4,1,1844,0,1844,0,2,0,2,7,1,3,2,2,546,3,3,2,0,122,190000
75,9525,0,6,1954,1972,0,2,85,2,1,3,444,550,994,3,1,1216,639,1855,0,2,0,2,7,0,0,1,1,325,3,3,2,182,0,136900
0,7750,1,7,2000,2000,0,2,95,3,1,6,250,134,384,4,1,774,656,1430,0,2,1,2,7,1,3,3,2,400,3,3,2,180,0,180000
77,9965,0,7,2007,2007,220,3,105,3,3,6,984,280,1264,4,1,1282,1414,2696,1,2,1,4,10,1,4,3,3,792,3,3,2,120,184,383970
0,21000,0,6,1953,1953,184,2,95,3,2,5,35,905,1809,2,1,2259,0,2259,1,2,0,3,7,2,4,1,2,450,3,3,2,166,120,217000
61,7259,1,6,1945,2002,0,2,85,3,1,5,774,104,1028,4,1,1436,884,2320,1,2,1,3,9,1,3,1,1,180,3,3,2,224,0,259500
34,3230,0,6,1999,1999,1129,2,95,3,1,6,419,310,729,3,1,729,729,1458,0,2,1,2,5,1,2,1,2,440,3,3,2,0,32,176000
0,11616,0,5,1962,1962,116,2,85,3,1,2,170,252,1092,2,1,1092,0,1092,0,1,0,2,6,1,1,1,1,288,3,3,2,0,20,139000
74,8536,0,5,2006,2007,0,2,95,3,1,1,0,1125,1125,3,1,1125,0,1125,0,1,1,2,5,0,0,1,2,430,3,3,2,80,64,155000
90,12376,0,7,1990,1990,0,2,95,3,2,6,1470,203,1673,3,1,1699,1523,3222,1,3,0,3,11,2,3,1,3,594,3,3,2,367,0,320000
65,8461,0,6,2005,2006,0,3,95,3,1,1,0,728,728,4,1,728,728,1456,0,2,1,3,8,1,4,3,2,390,3,3,2,0,24,163990
0,21453,1,6,1969,1969,0,2,85,3,4,5,938,0,938,4,1,988,0,988,1,1,0,2,4,2,3,1,2,540,3,3,2,0,130,180000
50,6060,0,4,1939,1950,0,2,85,3,1,1,0,732,732,3,1,772,351,1123,0,1,0,2,4,0,0,1,1,264,3,3,1,0,0,100000
75,9464,0,6,1958,1958,135,2,85,3,1,4,570,510,1080,3,1,1080,0,1080,0,1,0,2,5,0,0,1,1,288,3,3,2,0,0,136000
55,7892,0,6,1993,1993,0,3,95,3,1,6,300,899,1199,4,1,1199,0,1199,0,2,0,3,5,0,0,2,2,530,3,3,2,0,63,153900
48,17043,1,6,1979,1998,0,2,95,2,1,1,0,1362,1362,2,1,1586,0,1586,0,2,0,2,7,1,3,1,2,435,3,3,2,192,0,181000
60,6780,0,6,1935,1982,0,2,85,3,3,6,490,30,520,3,0,520,0,754,1,1,0,2,5,0,0,0,0,0,0,0,0,53,0,84500
0,4928,1,6,1976,1976,0,2,95,3,1,5,120,958,1078,2,1,958,0,958,0,2,0,2,5,1,3,2,2,440,3,3,2,0,205,128000
55,4388,1,5,1930,1950,0,2,85,3,1,2,116,556,672,4,1,840,0,840,0,1,0,2,5,1,3,0,0,0,0,0,0,0,0,87000
69,7590,0,6,1966,1966,266,2,85,3,1,4,512,148,660,2,1,660,688,1348,0,1,1,2,6,1,2,2,2,453,3,3,2,188,108,155000
69,8973,0,5,1958,1991,85,2,85,3,1,3,567,413,1008,2,1,1053,0,1053,0,1,1,4,6,0,0,2,2,750,3,3,2,0,80,150000
88,14200,0,7,1966,1966,309,2,85,3,1,3,445,479,924,4,1,1216,941,2157,0,2,1,3,8,2,4,3,2,487,3,3,2,105,66,226000
0,12224,1,6,2000,2000,40,3,95,3,1,6,695,297,992,4,1,1022,1032,2054,1,2,1,3,7,1,3,2,2,390,3,3,2,24,48,244000
75,7388,0,5,1959,2002,0,2,85,3,1,3,405,658,1063,3,1,1327,0,1327,1,1,0,3,7,0,0,1,2,624,3,3,2,0,0,150750
0,6853,1,8,2001,2002,136,3,105,3,1,6,1005,262,1267,4,1,1296,0,1296,1,2,0,3,6,0,0,3,2,471,3,3,2,192,25,220000
78,10335,1,5,1968,1993,0,2,85,3,1,3,570,891,1461,3,1,1721,0,1721,0,2,1,2,7,1,3,2,2,440,3,3,2,0,96,180000
80,10400,0,7,1970,1970,288,2,85,3,1,1,0,1304,1304,3,1,1682,0,1682,0,2,0,2,7,1,4,1,2,530,3,3,2,98,0,174000
0,10355,1,5,1967,1967,196,2,85,3,1,4,695,519,1214,2,1,1214,0,1214,0,2,0,2,5,1,2,2,1,318,3,3,2,0,111,143000
82,11070,0,7,1988,1989,70,2,85,3,1,1,0,1907,1907,3,1,1959,0,1959,0,3,0,2,9,0,0,1,3,766,3,3,2,0,0,171000
73,9066,1,8,1999,2000,320,3,95,3,2,6,668,336,1004,4,1,1004,848,1852,0,2,1,3,7,2,3,3,3,660,3,3,2,224,106,230000
65,15426,1,6,1997,1997,0,2,95,3,1,6,821,107,928,4,1,928,836,1764,1,2,1,3,7,0,0,2,2,470,3,3,2,276,99,231500
70,10500,0,4,1971,1971,0,2,85,3,1,5,432,432,864,2,1,864,0,864,0,1,0,2,5,1,1,0,0,0,0,0,2,0,0,115000
78,11645,0,7,2005,2005,0,3,95,3,3,6,1300,434,1734,4,1,1734,0,1734,1,2,0,3,7,0,0,3,2,660,3,3,2,160,24,260000
71,8520,0,5,1952,1952,0,2,85,3,1,3,507,403,910,1,1,910,475,1385,0,2,0,2,6,0,0,1,2,720,3,3,2,0,0,166000
78,10335,1,7,1999,1999,183,3,95,3,4,6,679,811,1490,4,1,1501,0,1501,1,2,0,3,6,0,0,2,2,577,3,3,2,144,29,204000
70,9100,0,5,1963,1963,336,2,85,3,1,3,1332,396,1728,2,1,1728,0,1728,1,2,0,2,10,0,0,1,2,504,3,3,2,0,0,125000
24,2522,0,6,2004,2006,50,3,95,3,1,1,0,970,970,4,1,970,739,1709,0,2,0,3,7,0,0,1,2,380,3,3,2,0,40,130000
51,6120,0,5,1931,1993,0,2,85,3,1,4,209,506,715,2,1,875,0,875,1,1,0,2,5,0,0,1,1,180,2,3,2,48,0,105000
0,9505,1,7,2001,2001,180,3,95,3,1,1,0,884,884,4,1,884,1151,2035,0,2,1,3,8,1,4,3,2,434,3,3,2,144,48,222500
63,7500,0,7,2004,2005,120,2,95,3,1,6,680,400,1080,4,1,1080,0,1080,1,1,0,3,6,0,0,0,0,0,0,0,2,0,0,141000
0,6240,0,5,1936,1950,0,2,95,3,1,1,0,896,896,3,1,896,448,1344,0,1,0,2,7,0,0,1,1,240,2,3,2,200,114,115000
120,10356,0,5,1975,1975,0,2,85,3,3,4,716,253,969,2,1,969,0,969,0,1,1,2,5,0,0,1,2,440,3,3,2,0,0,122000
107,13891,0,8,2007,2008,436,3,105,3,4,6,1400,310,1710,4,1,1710,0,1710,1,2,0,3,6,1,4,2,3,866,3,3,2,0,102,372402
0,14803,1,6,1971,1971,252,2,85,3,1,3,416,409,825,3,1,1097,896,1993,0,2,1,2,8,1,4,2,2,495,3,3,2,0,66,190000
0,13500,0,6,1960,1975,0,2,95,3,4,4,429,93,1602,3,1,1252,0,1252,1,1,0,2,4,1,4,2,2,564,3,3,2,409,0,235000
84,11340,0,6,1923,1950,0,2,85,3,1,1,0,1200,1200,2,1,1200,0,1200,0,1,0,2,7,0,0,1,1,312,2,2,2,0,0,125000
60,9600,0,6,1924,1950,0,2,85,3,1,1,0,572,572,1,0,572,524,1096,0,1,0,2,5,0,0,0,0,0,0,0,0,0,8,79000
60,7200,0,5,1950,1950,0,2,0,0,0,0,0,0,0,2,1,1040,0,1040,0,1,0,2,5,0,0,1,2,625,3,3,2,0,0,109500
92,12003,0,8,2009,2010,84,3,105,3,1,1,0,774,774,4,1,774,1194,1968,0,2,1,4,8,1,4,3,3,680,3,3,2,0,75,269500
100,12552,0,7,2004,2005,0,3,95,3,1,6,222,769,991,4,1,991,956,1947,0,2,1,3,8,1,4,2,2,678,3,3,2,0,136,254900
134,19378,1,7,2005,2006,456,3,95,3,2,6,57,1335,1392,4,1,1392,1070,2462,1,2,1,3,9,1,4,2,2,576,3,3,2,239,132,320000
0,11120,1,6,1984,1984,0,2,95,3,1,4,660,572,1232,2,1,1232,0,1232,0,2,0,2,6,0,0,1,2,516,3,3,2,0,0,162500
110,13688,1,9,2003,2004,664,3,105,3,3,6,1016,556,1572,4,1,1572,1096,2668,1,2,1,4,10,2,4,3,3,726,3,3,2,400,0,412500
95,12182,0,7,2005,2005,226,3,95,3,2,4,1201,340,1541,4,1,1541,0,1541,0,2,0,3,7,1,4,2,2,532,3,3,2,0,70,220000
55,5500,0,4,1956,1956,0,2,85,3,1,1,0,882,882,4,1,882,0,882,0,1,0,2,4,0,0,0,0,0,0,0,2,0,0,103200
40,5400,0,6,1926,2004,0,2,85,3,2,2,370,779,1149,3,1,1149,467,1616,0,2,0,3,5,0,0,1,1,216,3,3,2,0,0,152000
62,10106,0,5,1940,1999,0,2,85,3,1,5,351,112,644,3,1,808,547,1355,1,2,0,2,6,0,0,0,0,0,0,0,2,140,0,127500
0,10708,1,5,1955,1993,0,3,85,3,1,2,379,470,1617,4,1,1867,0,1867,1,1,0,2,7,3,4,3,1,303,3,3,2,476,0,190000
86,10562,0,8,2007,2007,300,3,105,3,1,6,1288,294,1582,4,1,1610,551,2161,1,1,1,4,8,1,4,3,3,789,3,3,2,178,120,325624
62,8244,1,7,2004,2004,0,3,95,3,1,1,0,840,840,4,1,840,880,1720,0,2,1,3,7,1,4,3,2,440,3,3,2,100,48,183500
0,16669,1,8,1981,1981,653,3,95,3,1,1,0,1686,1686,2,1,1707,0,1707,0,2,1,2,6,1,3,2,2,511,3,3,2,574,64,228000
0,12358,1,5,1941,1950,0,2,85,3,1,3,360,360,720,2,1,854,0,1382,0,1,1,2,7,0,0,1,2,660,3,3,2,237,0,128500
