Id,MSSubClass,LotFrontage,LotArea,Street,Alley,LotShape,LandSlope,OverallCond,MasVnrArea,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,HeatingQC,CentralAir,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,Fireplaces,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SalePrice
29,20,47,16321,1,0,1,0,6,0,2,85,3,4,4,1277,1,0,207,2,1,0,0,1,0,0,2,1,7,2,3,3,2,288,258,0,0,0,0,0,0,12,2006,207500
30,30,60,6324,1,0,1,0,6,0,2,85,3,1,1,0,1,0,520,1,0,0,0,0,0,0,1,1,7,0,2,3,2,49,0,87,0,0,0,0,0,5,2008,68500
31,70,50,8500,1,1,0,0,4,0,1,85,3,1,1,0,1,0,649,2,0,668,0,0,0,0,3,1,7,0,3,2,0,0,54,172,0,0,0,0,0,7,2008,40000
32,20,0,8544,1,0,1,0,6,0,2,85,3,1,1,0,1,0,1228,3,1,0,0,0,0,1,3,1,7,0,3,3,2,0,65,0,0,0,0,0,0,6,2008,149350
33,20,85,11049,1,0,0,0,5,0,2,105,3,3,1,0,1,0,1234,4,1,0,0,0,0,0,3,1,7,0,3,3,2,0,30,0,0,0,0,0,0,1,2008,179900
34,20,70,10552,1,0,1,0,5,0,2,85,3,1,3,1018,1,0,380,3,1,0,0,0,1,1,4,1,7,1,3,3,2,0,38,0,0,0,0,0,0,4,2010,165500
35,120,60,7313,1,0,0,0,5,246,2,105,3,1,6,1153,1,0,408,4,1,0,0,1,0,0,2,1,7,1,3,3,2,203,47,0,0,0,0,0,0,8,2007,277500
36,60,108,13418,1,0,0,0,5,132,2,105,3,3,1,0,1,0,1117,4,1,1320,0,0,0,1,4,1,7,1,3,3,2,113,32,0,0,0,0,0,0,9,2006,309000
37,20,112,10859,1,0,0,0,5,0,2,95,3,1,1,0,1,0,1097,4,1,0,0,0,0,1,3,1,7,0,3,3,2,392,64,0,0,0,0,0,0,6,2009,145000
38,20,74,8532,1,0,0,0,6,650,2,85,3,1,3,1213,1,0,84,3,1,0,0,0,1,0,3,1,7,1,3,3,2,0,0,0,0,0,0,0,0,10,2009,153000
39,20,68,7922,1,0,0,0,7,0,3,85,3,1,6,731,1,0,326,2,1,0,0,1,0,0,3,1,7,0,3,3,2,0,52,0,0,0,0,0,0,1,2010,109000
40,90,65,6040,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,6,2008,82000
41,20,84,8658,1,0,0,0,5,101,2,85,3,1,3,643,1,0,445,4,1,0,0,0,0,0,3,1,7,1,3,3,2,0,138,0,0,0,0,0,0,12,2006,160000
42,20,115,16905,1,0,0,0,6,0,3,85,3,4,4,967,1,0,383,3,1,0,0,0,1,1,2,1,7,2,3,3,1,0,104,0,0,0,0,0,0,7,2007,170000
43,85,0,9180,1,0,1,0,7,0,2,95,3,3,5,747,2,93,0,3,1,0,0,1,0,0,2,1,7,0,3,4,2,240,0,0,0,0,0,0,0,12,2007,144000
44,20,0,9200,1,0,1,0,6,0,2,95,3,3,2,280,4,491,167,2,1,0,0,1,0,0,3,1,7,0,3,3,2,145,0,0,0,0,0,0,0,7,2008,130250
45,20,70,7945,1,0,0,0,6,0,2,85,3,1,5,179,4,506,465,4,1,0,0,1,0,0,3,1,7,0,3,3,2,0,0,0,0,0,0,0,0,5,2006,141000
46,120,61,7658,1,0,0,0,5,412,2,105,3,1,6,456,1,0,1296,4,1,0,0,1,0,0,2,1,7,1,3,3,2,196,82,0,0,0,0,0,0,2,2010,319900
47,50,48,12822,1,0,1,0,5,0,2,105,3,1,6,1351,1,0,83,4,1,631,0,1,0,1,1,1,7,1,3,3,2,168,43,0,0,198,0,0,0,8,2009,239686
48,20,84,11096,1,0,0,0,5,0,2,95,3,3,6,24,1,0,1632,4,1,0,0,0,0,0,3,1,7,0,3,3,2,0,146,0,0,0,0,0,0,7,2007,249700
49,190,33,4456,1,0,0,0,5,0,2,85,3,1,1,0,1,0,736,3,1,716,0,0,0,0,2,3,7,0,0,0,0,0,0,102,0,0,0,0,0,6,2009,113000
50,20,66,7742,1,0,0,0,7,0,2,85,3,1,4,763,1,0,192,4,1,0,0,1,0,0,3,1,7,0,3,3,2,0,0,0,0,0,0,0,0,1,2007,127000
51,60,0,13869,1,0,2,0,6,0,2,95,3,3,6,182,1,0,612,3,1,676,0,0,1,0,3,1,7,0,3,3,2,0,75,0,0,0,0,0,0,7,2007,177000
52,50,52,6240,1,0,0,0,6,0,2,85,3,1,1,0,1,0,816,2,1,0,360,0,0,0,3,1,7,1,3,3,2,112,0,0,0,0,0,0,400,9,2006,114500
53,90,110,8472,0,0,2,1,5,0,2,95,3,4,2,104,6,712,0,2,0,0,0,1,0,0,2,1,7,0,3,3,2,106,0,0,0,0,0,0,0,5,2010,110000
54,20,68,50271,1,0,1,0,5,0,2,105,3,4,6,1810,1,0,32,3,1,0,0,2,0,1,0,1,7,1,3,3,2,857,72,0,0,0,0,0,0,11,2006,385000
55,80,60,7134,1,0,0,1,5,0,2,85,3,1,5,384,1,0,0,2,1,0,0,0,0,0,3,1,6,1,3,3,2,0,50,0,0,0,0,0,0,2,2007,130000
56,20,100,10175,1,0,1,0,5,272,2,85,3,1,4,490,1,0,935,3,1,0,0,0,0,0,3,1,7,1,3,3,2,0,0,0,407,0,0,0,0,7,2008,180500
57,160,24,2645,1,1,0,0,5,456,2,95,3,1,6,649,1,0,321,4,1,756,0,1,0,1,3,1,7,0,3,3,2,115,0,0,0,0,0,0,0,8,2009,172500
58,60,89,11645,1,0,1,0,5,0,2,95,3,1,1,0,1,0,860,4,1,860,0,0,0,1,3,1,7,0,3,3,2,0,70,0,0,0,0,0,0,8,2006,196500
59,60,66,13682,1,0,2,0,5,1031,2,105,3,4,1,0,1,0,1410,4,1,1519,0,0,0,1,3,1,7,1,3,3,2,192,0,37,0,0,0,0,0,10,2006,438780
60,20,60,7200,1,0,0,0,7,0,2,85,3,3,5,632,1,0,148,4,1,0,0,0,0,0,2,1,7,0,3,3,2,196,0,0,0,0,0,0,0,1,2008,124900
61,20,63,13072,1,0,0,0,5,0,2,95,3,1,5,941,1,0,217,4,1,0,0,1,0,1,3,1,7,0,3,3,2,0,50,0,0,0,0,0,0,5,2006,158000
62,75,60,7200,1,0,0,0,7,0,2,85,2,1,1,0,1,0,530,2,0,530,0,0,0,0,3,1,7,0,3,3,0,0,0,144,0,0,0,0,0,3,2007,101000
63,120,44,6442,1,0,1,0,5,178,2,95,4,2,6,24,1,0,1346,4,1,0,0,0,0,0,2,1,7,1,3,3,2,120,49,0,0,0,0,0,0,10,2007,202500
64,70,50,10300,1,0,1,0,6,0,2,85,3,1,1,0,1,0,576,3,1,808,0,0,0,0,3,1,7,0,3,3,2,12,11,64,0,0,0,0,0,4,2010,140000
65,60,0,9375,1,0,0,0,5,573,2,95,3,1,6,739,1,0,318,4,1,977,0,1,0,1,3,1,7,0,3,3,2,576,36,0,0,0,0,0,0,2,2009,219500
66,60,76,9591,1,0,0,0,5,344,2,105,3,3,1,0,1,0,1143,4,1,1330,0,0,0,1,4,1,7,1,3,3,2,192,151,0,0,0,0,0,0,10,2007,317000
67,20,0,19900,1,0,0,0,5,287,2,95,3,4,6,912,1,0,1035,2,1,0,0,1,0,0,3,1,6,1,3,3,2,301,0,0,0,0,0,0,0,7,2010,180000
68,20,72,10665,1,0,1,0,5,167,2,95,3,3,6,1013,1,0,440,4,1,0,0,1,0,0,3,1,7,0,3,3,2,144,29,0,0,0,0,0,0,6,2007,226000
69,30,47,4608,1,0,0,0,6,0,3,85,3,1,1,0,1,0,747,2,1,0,0,0,0,0,2,1,7,0,3,3,2,0,0,0,0,0,0,0,0,6,2010,80000
70,50,81,15593,1,0,0,0,4,0,2,85,3,1,4,603,1,0,701,2,1,983,0,0,0,0,3,1,7,1,3,3,2,0,21,114,0,0,0,0,0,7,2006,225000
71,20,95,13651,1,0,1,0,6,1115,3,95,3,4,5,1880,1,0,343,4,1,0,0,1,0,0,3,1,7,2,3,3,2,300,0,0,0,0,0,0,0,2,2007,244000
72,20,69,7599,1,0,0,0,6,0,2,85,3,1,5,565,1,0,280,2,1,0,0,1,0,0,2,1,7,0,3,3,2,0,0,0,0,0,0,0,0,6,2007,129500
73,60,74,10141,1,0,1,0,5,40,2,95,3,1,1,0,1,0,832,3,1,833,0,0,0,1,3,1,7,1,3,3,2,0,94,0,0,291,0,0,0,12,2009,185000
74,20,85,10200,1,0,0,0,7,104,2,85,3,1,5,320,4,362,404,3,1,0,0,1,0,0,3,1,7,0,3,3,2,0,0,0,0,0,0,0,0,5,2010,144900
75,50,60,5790,1,0,0,0,6,0,3,75,3,1,1,0,1,0,840,3,0,765,0,0,0,0,3,2,7,0,3,3,2,0,0,202,0,0,0,0,0,5,2010,107400
76,180,21,1596,1,0,0,0,5,0,2,95,3,4,6,462,1,0,0,2,1,462,0,1,0,0,2,1,7,0,3,3,2,120,101,0,0,0,0,0,0,11,2009,91000
77,20,0,8475,1,0,1,0,7,0,2,85,3,1,5,228,1,0,724,4,1,0,0,0,0,0,2,1,7,0,3,3,2,0,0,0,0,0,0,0,0,4,2008,135750
78,50,50,8635,1,0,0,0,5,0,2,85,3,1,4,336,6,41,295,2,1,213,0,1,0,0,2,1,6,0,3,3,2,0,0,0,0,0,0,0,0,1,2008,127000
79,90,72,10778,1,0,0,0,5,0,2,85,3,1,1,0,1,0,1768,2,0,0,0,0,0,0,4,2,7,0,0,0,2,0,0,0,0,0,0,0,0,4,2010,136500
80,50,60,10440,1,1,0,0,6,0,2,85,3,1,1,0,1,0,440,3,1,548,0,0,0,1,2,1,7,0,3,3,2,74,0,128,0,0,0,0,0,5,2009,110000
81,60,100,13000,1,0,0,0,6,576,3,95,3,1,3,448,1,0,448,2,1,960,0,0,0,1,4,1,7,1,3,3,2,0,72,0,0,252,0,0,0,6,2009,193500
82,120,32,4500,1,0,0,0,5,443,3,105,4,1,6,1201,1,0,36,4,1,0,0,1,0,0,2,1,7,0,3,3,2,0,199,0,0,0,0,0,0,3,2006,153500
83,20,78,10206,1,0,0,0,5,468,2,95,3,1,6,33,1,0,1530,4,1,0,0,0,0,0,3,1,7,1,3,3,2,144,99,0,0,0,0,0,0,10,2008,245000
84,20,80,8892,1,0,1,0,5,66,2,85,3,1,1,0,1,0,1065,3,1,0,0,0,0,1,3,1,7,0,3,3,2,74,0,0,0,0,0,0,0,7,2007,126500
85,80,0,8530,1,0,1,0,5,22,2,95,3,1,1,0,1,0,384,3,1,670,0,0,0,1,3,1,7,1,3,3,2,120,72,0,0,0,0,0,700,5,2009,168500
86,60,121,16059,1,0,0,0,5,284,2,95,3,1,1,0,1,0,1288,4,1,1116,0,0,0,1,4,1,7,1,3,3,2,127,82,0,0,0,0,0,0,4,2006,260000
87,60,122,11911,1,0,2,0,5,0,2,95,3,3,1,0,1,0,684,4,1,876,0,0,0,1,3,1,7,1,3,3,2,100,38,0,0,0,0,0,0,3,2009,174000
88,160,40,3951,1,1,0,0,5,76,2,95,3,3,1,0,1,0,612,4,1,612,0,0,0,1,2,1,7,0,3,3,2,0,234,0,0,0,0,0,0,6,2009,164500
89,50,105,8470,1,0,1,0,2,0,1,85,2,1,1,0,1,0,1013,2,0,0,513,0,0,0,2,1,7,0,0,0,0,0,0,156,0,0,0,0,0,10,2009,85000
90,20,60,8070,1,0,0,0,5,0,2,95,3,1,6,588,1,0,402,4,1,0,0,1,0,0,3,1,7,0,0,0,2,0,0,0,0,0,0,0,0,8,2007,123600
91,20,60,7200,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,7,0,3,3,2,0,29,0,0,0,0,0,0,7,2006,109900
92,20,85,8500,1,0,0,0,3,203,2,85,3,1,3,600,1,0,635,2,1,0,0,0,0,0,2,1,7,0,3,3,2,0,0,0,0,0,0,0,0,12,2006,98600
93,30,80,13360,1,1,1,0,7,0,3,95,3,1,5,713,1,0,163,4,1,0,0,1,0,0,2,1,7,0,3,3,2,0,0,44,0,0,0,0,0,8,2009,163500
94,190,60,7200,1,0,0,0,6,0,2,85,2,2,3,1046,1,0,168,4,0,1031,0,0,1,0,4,2,7,1,3,3,2,0,0,0,0,99,0,0,0,11,2007,133900
95,60,69,9337,1,0,1,0,5,0,3,95,3,1,6,648,1,0,176,4,1,881,0,1,0,1,3,1,7,0,3,3,2,0,162,0,0,0,0,0,0,5,2007,204750
96,60,0,9765,1,0,2,0,8,68,3,95,4,1,5,310,1,0,370,3,1,790,0,0,0,1,3,1,7,1,3,3,2,232,63,0,0,0,0,0,480,4,2009,185000
97,20,78,10264,1,0,1,0,5,183,2,95,3,3,5,1162,1,0,426,4,1,0,0,0,0,0,3,1,7,0,3,3,2,158,29,0,0,0,0,0,0,8,2006,214000
98,20,73,10921,1,0,0,0,5,48,2,85,3,1,3,520,1,0,440,2,1,0,0,1,0,0,3,1,7,0,3,3,1,120,0,0,0,0,0,0,0,5,2007,94750
99,30,85,10625,1,0,0,0,5,0,2,85,3,1,5,108,1,0,350,1,0,0,0,0,0,0,2,1,7,0,2,3,2,0,0,77,0,0,0,0,400,5,2010,83000
100,20,77,9320,1,0,1,0,5,0,2,85,3,1,5,569,1,0,381,1,1,0,0,1,0,1,3,1,7,0,0,0,2,352,0,0,0,0,0,0,400,1,2010,128950
101,20,0,10603,1,0,1,0,7,28,2,85,3,2,5,1200,1,0,410,3,1,0,0,1,0,0,3,1,7,2,3,3,2,168,68,0,0,0,0,0,0,2,2010,205000
102,60,77,9206,1,0,0,0,5,336,2,95,3,1,1,0,1,0,741,2,1,755,0,0,0,1,3,1,7,1,3,3,2,192,46,0,0,0,0,0,0,6,2010,178000
103,90,64,7018,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,2,7,0,3,3,2,0,0,0,0,0,0,0,0,6,2009,118964
104,20,94,10402,1,0,1,0,5,0,2,95,3,1,1,0,1,0,1226,4,1,0,0,0,0,0,3,1,7,0,3,3,2,0,36,0,0,0,0,0,0,5,2010,198900
105,50,0,7758,1,0,0,0,4,600,1,85,3,1,2,224,1,0,816,4,1,592,0,0,0,1,4,1,7,2,3,3,2,0,0,0,0,184,0,0,0,6,2007,169500
106,60,75,9375,1,0,0,0,5,768,2,105,3,1,1,0,1,0,1053,4,1,939,0,0,0,1,3,1,7,1,3,3,2,140,45,0,0,0,0,0,0,8,2008,250000
107,30,60,10800,1,1,0,0,7,0,2,75,3,1,1,0,1,0,641,3,1,0,0,0,0,0,2,1,7,0,2,2,0,0,0,0,0,0,0,0,450,8,2007,100000
108,20,50,6000,1,0,0,0,5,0,2,85,3,1,5,104,4,169,516,4,1,0,0,0,0,0,2,1,7,0,3,3,2,0,0,0,0,0,0,0,0,4,2008,115000
109,50,85,8500,1,0,0,0,7,0,2,85,3,1,1,0,1,0,793,2,0,520,0,0,0,0,3,1,7,0,0,0,0,0,0,144,0,0,0,0,0,8,2007,115000
110,20,105,11751,1,0,1,0,6,480,2,95,3,1,4,705,1,0,1139,4,1,0,0,0,0,0,3,1,7,1,3,3,2,0,122,0,0,0,0,0,0,1,2010,190000
111,50,75,9525,1,0,0,0,4,0,2,85,2,1,3,444,1,0,550,3,1,639,0,0,0,0,4,1,7,0,3,3,2,182,0,0,0,0,0,0,0,10,2006,136900
112,80,0,7750,1,0,1,0,5,0,2,95,3,1,6,250,1,0,134,4,1,656,0,0,0,1,3,1,7,1,3,3,2,180,0,0,0,0,0,0,0,4,2010,180000
113,60,77,9965,1,0,0,0,5,220,2,105,3,3,6,984,1,0,280,4,1,1414,0,1,0,1,4,1,7,1,3,3,2,120,184,0,0,168,0,0,0,10,2007,383970
114,20,0,21000,1,0,0,0,5,184,3,95,3,2,5,35,3,869,905,2,1,0,0,1,0,0,3,1,7,2,3,3,2,166,120,192,0,0,0,0,0,10,2007,217000
115,70,61,7259,1,0,1,1,8,0,2,85,3,1,5,774,2,150,104,4,1,884,0,1,0,1,3,1,7,1,3,3,2,224,0,0,0,0,0,0,0,7,2007,259500
116,160,34,3230,1,1,0,0,5,1129,2,95,3,1,6,419,1,0,310,3,1,729,0,0,0,1,2,1,7,1,3,3,2,0,32,0,0,0,0,0,0,6,2007,176000
117,20,0,11616,1,0,0,0,5,116,2,85,3,1,2,170,4,670,252,2,1,0,0,0,1,0,3,1,7,1,3,3,2,0,20,144,0,0,0,0,0,9,2009,139000
118,20,74,8536,1,0,0,0,5,0,2,95,3,1,1,0,1,0,1125,3,1,0,0,0,0,1,2,1,7,0,3,3,2,80,64,0,0,0,0,0,0,4,2007,155000
119,60,90,12376,1,0,0,0,5,0,2,95,3,2,6,1470,1,0,203,3,1,1523,0,1,0,0,5,1,7,2,3,3,2,367,0,0,0,0,0,0,0,5,2010,320000
120,60,65,8461,1,0,0,0,5,0,2,95,3,1,1,0,1,0,728,4,1,728,0,0,0,1,3,1,7,1,3,3,2,0,24,0,0,0,0,0,0,7,2006,163990
121,80,0,21453,1,0,1,2,5,0,2,85,3,4,5,938,1,0,0,4,1,0,0,1,0,0,1,1,7,2,3,3,2,0,130,0,130,0,0,0,0,10,2006,180000
122,50,50,6060,1,0,0,0,5,0,2,85,3,1,1,0,1,0,732,3,1,351,0,0,0,0,3,1,7,0,3,3,1,0,0,140,0,0,0,0,0,6,2007,100000
123,20,75,9464,1,0,0,0,7,135,3,85,3,1,4,570,1,0,510,3,1,0,0,0,0,0,3,1,7,0,3,3,2,0,0,0,0,130,0,0,0,6,2008,136000
124,120,55,7892,1,0,0,0,5,0,2,95,3,1,6,300,1,0,899,4,1,0,0,0,0,0,2,1,7,0,3,3,2,0,63,0,0,0,0,0,0,3,2008,153900
125,20,48,17043,1,0,1,0,5,0,3,95,2,1,1,0,1,0,1362,2,1,0,0,0,0,0,3,1,7,1,3,3,2,192,0,0,0,0,0,0,0,1,2009,181000
126,190,60,6780,1,0,0,0,8,0,1,85,3,3,6,490,1,0,30,3,0,0,234,1,0,0,2,1,7,0,0,0,0,53,0,0,0,0,0,0,0,6,2006,84500
127,120,0,4928,1,0,1,0,5,0,2,95,3,1,5,120,1,0,958,2,1,0,0,0,0,0,2,1,7,1,3,3,2,0,205,0,0,0,0,0,0,2,2007,128000
128,45,55,4388,1,0,1,0,7,0,3,85,3,1,2,116,1,0,556,4,1,0,0,0,0,0,3,1,7,1,0,0,0,0,0,0,0,0,0,0,0,6,2007,87000
129,60,69,7590,1,0,0,0,5,266,2,85,3,1,4,512,1,0,148,2,1,688,0,0,0,1,3,1,7,1,3,3,2,188,108,0,0,0,0,0,0,7,2006,155000
130,20,69,8973,1,0,0,0,7,85,2,85,3,1,3,567,4,28,413,2,1,0,0,0,1,1,3,1,7,0,3,3,2,0,80,0,180,0,0,0,0,7,2006,150000
131,60,88,14200,1,0,0,0,6,309,2,85,3,1,3,445,1,0,479,4,1,941,0,0,0,1,4,1,7,2,3,3,2,105,66,0,0,0,0,0,0,5,2006,226000
132,60,0,12224,1,0,1,0,5,40,2,95,3,1,6,695,1,0,297,4,1,1032,0,1,0,1,3,1,7,1,3,3,2,24,48,0,0,0,0,0,0,7,2009,244000
133,20,75,7388,1,0,0,0,6,0,2,85,3,1,3,405,1,0,658,3,1,0,0,1,0,0,3,1,7,0,3,3,2,0,0,0,0,0,0,0,0,7,2007,150750
134,20,0,6853,1,0,1,0,5,136,2,105,3,1,6,1005,1,0,262,4,1,0,0,1,0,0,2,1,7,0,3,3,2,192,25,0,0,0,0,0,0,6,2009,220000
135,20,78,10335,1,0,1,0,6,0,2,85,3,1,3,570,1,0,891,3,1,0,0,0,0,1,3,1,6,1,3,3,2,0,96,180,0,0,0,0,0,7,2006,180000
136,20,80,10400,1,0,0,0,6,288,2,85,3,1,1,0,1,0,1304,3,1,0,0,0,0,0,3,1,7,1,3,3,2,98,0,0,0,0,0,0,0,5,2008,174000
137,20,0,10355,1,0,1,0,5,196,2,85,3,1,4,695,1,0,519,2,1,0,0,0,0,0,3,1,7,1,3,3,2,0,111,0,0,0,0,0,0,7,2007,143000
138,90,82,11070,1,0,0,0,5,70,2,85,3,1,1,0,1,0,1907,3,1,0,0,0,0,0,5,2,7,0,3,3,2,0,0,0,0,0,0,0,0,7,2006,171000
139,60,73,9066,1,0,1,0,5,320,2,95,3,2,6,668,1,0,336,4,1,848,0,0,0,1,3,1,7,2,3,3,2,224,106,0,0,0,0,0,0,12,2008,230000
140,60,65,15426,1,0,1,0,5,0,2,95,3,1,6,821,1,0,107,4,1,836,0,1,0,1,3,1,7,0,3,3,2,276,99,0,0,0,0,0,0,8,2009,231500
141,20,70,10500,1,0,0,0,5,0,2,85,3,1,5,432,1,0,432,2,1,0,0,0,0,0,3,1,7,1,0,0,2,0,0,0,0,0,0,0,0,4,2010,115000
142,20,78,11645,1,0,0,0,5,0,2,95,3,3,6,1300,1,0,434,4,1,0,0,1,0,0,3,1,7,0,3,3,2,160,24,0,0,0,0,0,0,1,2006,260000
143,50,71,8520,1,0,0,0,4,0,1,85,3,1,3,507,1,0,403,1,1,475,0,0,0,0,4,1,7,0,3,3,2,0,0,0,0,0,0,0,0,6,2010,166000
144,20,78,10335,1,0,1,0,5,183,2,95,3,4,6,679,1,0,811,4,1,0,0,1,0,0,3,1,7,0,3,3,2,144,29,0,0,0,0,0,0,6,2009,204000
145,90,70,9100,1,0,0,0,5,336,2,85,3,1,3,1332,1,0,396,2,1,0,0,1,0,0,6,2,7,0,3,3,2,0,0,0,0,0,0,0,0,11,2006,125000
146,160,24,2522,1,0,0,0,5,50,2,95,3,1,1,0,1,0,970,4,1,739,0,0,0,0,3,1,3,0,3,3,2,0,40,0,0,0,0,0,0,4,2006,130000
