Id,MSSubClass,LotFrontage,LotArea,Street,Alley,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SalePrice
24,120,44,4224,1,0,0,0,5,7,1976,1976,0,2,2,95,3,1,6,840,1,0,200,1040,2,1,1060,0,0,1060,1,0,1,0,3,1,2,6,7,1,3,1,2,572,3,3,2,100,110,0,0,0,0,0,0,6,2007,129900
25,20,0,8246,1,0,1,0,5,8,1968,2001,0,2,3,85,3,2,3,188,5,668,204,1060,4,1,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,3,1,1,270,3,3,2,406,90,0,0,0,0,0,0,5,2010,154000
26,20,110,14230,1,0,0,0,8,5,2007,2007,640,3,2,95,3,1,1,0,1,0,1566,1566,4,1,1600,0,0,1600,0,0,2,0,3,1,3,7,7,1,4,2,3,890,3,3,2,0,56,0,0,0,0,0,0,7,2009,256300
27,20,60,7200,1,0,0,0,5,7,1951,2000,0,2,2,85,3,2,4,234,3,486,180,900,2,1,900,0,0,900,0,1,1,0,3,1,3,5,7,0,0,1,2,576,3,3,2,222,32,0,0,0,0,0,0,5,2010,134800
28,20,98,11478,1,0,0,0,8,5,2007,2008,200,3,2,105,3,1,6,1218,1,0,486,1704,4,1,1704,0,0,1704,1,0,2,0,3,1,3,7,7,1,4,2,3,772,3,3,2,0,50,0,0,0,0,0,0,5,2010,306000
29,20,47,16321,1,0,1,0,5,6,1957,1997,0,2,2,85,3,4,4,1277,1,0,207,1484,2,1,1600,0,0,1600,1,0,1,0,2,1,2,6,7,2,4,2,1,319,3,3,2,288,258,0,0,0,0,0,0,12,2006,207500
30,30,60,6324,1,0,1,0,4,6,1927,1950,0,2,2,85,3,1,1,0,1,0,520,520,1,0,520,0,0,520,0,0,1,0,1,1,1,4,7,0,0,1,1,240,2,3,2,49,0,87,0,0,0,0,0,5,2008,68500
31,70,50,8500,1,1,0,0,4,4,1920,1950,0,2,1,85,3,1,1,0,1,0,649,649,2,0,649,668,0,1317,0,0,1,0,3,1,2,6,7,0,0,1,1,250,3,2,0,0,54,172,0,0,0,0,0,7,2008,40000
32,20,0,8544,1,0,1,0,5,6,1966,2006,0,2,2,85,3,1,1,0,1,0,1228,1228,3,1,1228,0,0,1228,0,0,1,1,3,1,3,6,7,0,0,1,1,271,3,3,2,0,65,0,0,0,0,0,0,6,2008,149350
33,20,85,11049,1,0,0,0,8,5,2007,2007,0,3,2,105,3,3,1,0,1,0,1234,1234,4,1,1234,0,0,1234,0,0,2,0,3,1,3,7,7,0,0,2,2,484,3,3,2,0,30,0,0,0,0,0,0,1,2008,179900
34,20,70,10552,1,0,1,0,5,5,1959,1959,0,2,2,85,3,1,3,1018,1,0,380,1398,3,1,1700,0,0,1700,0,1,1,1,4,1,3,6,7,1,4,2,2,447,3,3,2,0,38,0,0,0,0,0,0,4,2010,165500
35,120,60,7313,1,0,0,0,9,5,2005,2005,246,4,2,105,3,1,6,1153,1,0,408,1561,4,1,1561,0,0,1561,1,0,2,0,2,1,4,6,7,1,4,3,2,556,3,3,2,203,47,0,0,0,0,0,0,8,2007,277500
36,60,108,13418,1,0,0,0,8,5,2004,2005,132,3,2,105,3,3,1,0,1,0,1117,1117,4,1,1132,1320,0,2452,0,0,3,1,4,1,3,9,7,1,4,3,3,691,3,3,2,113,32,0,0,0,0,0,0,9,2006,309000
37,20,112,10859,1,0,0,0,5,5,1994,1995,0,2,2,95,3,1,1,0,1,0,1097,1097,4,1,1097,0,0,1097,0,0,1,1,3,1,2,6,7,0,0,1,2,672,3,3,2,392,64,0,0,0,0,0,0,6,2009,145000
38,20,74,8532,1,0,0,0,5,6,1954,1990,650,2,2,85,3,1,3,1213,1,0,84,1297,3,1,1297,0,0,1297,0,1,1,0,3,1,2,5,7,1,3,3,2,498,3,3,2,0,0,0,0,0,0,0,0,10,2009,153000
39,20,68,7922,1,0,0,0,5,7,1953,2007,0,2,3,85,3,1,6,731,1,0,326,1057,2,1,1057,0,0,1057,1,0,1,0,3,1,3,5,7,0,0,1,1,246,3,3,2,0,52,0,0,0,0,0,0,1,2010,109000
40,90,65,6040,1,0,0,0,4,5,1955,1955,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1152,0,0,1152,0,0,2,0,2,2,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2008,82000
41,20,84,8658,1,0,0,0,6,5,1965,1965,101,2,2,85,3,1,3,643,1,0,445,1088,4,1,1324,0,0,1324,0,0,2,0,3,1,2,6,7,1,3,2,2,440,3,3,2,0,138,0,0,0,0,0,0,12,2006,160000
42,20,115,16905,1,0,0,0,5,6,1959,1959,0,2,3,85,3,4,4,967,1,0,383,1350,3,1,1328,0,0,1328,0,1,1,1,2,1,2,5,7,2,4,2,1,308,3,3,1,0,104,0,0,0,0,0,0,7,2007,170000
43,85,0,9180,1,0,1,0,5,7,1983,1983,0,2,2,95,3,3,5,747,2,93,0,840,3,1,884,0,0,884,1,0,1,0,2,1,3,5,7,0,0,2,2,504,3,4,2,240,0,0,0,0,0,0,0,12,2007,144000
44,20,0,9200,1,0,1,0,5,6,1975,1980,0,2,2,95,3,3,2,280,4,491,167,938,2,1,938,0,0,938,1,0,1,0,3,1,2,5,7,0,0,1,1,308,3,3,2,145,0,0,0,0,0,0,0,7,2008,130250
45,20,70,7945,1,0,0,0,5,6,1959,1959,0,2,2,85,3,1,5,179,4,506,465,1150,4,1,1150,0,0,1150,1,0,1,0,3,1,2,6,7,0,0,2,1,300,3,3,2,0,0,0,0,0,0,0,0,5,2006,141000
46,120,61,7658,1,0,0,0,9,5,2005,2005,412,4,2,105,3,1,6,456,1,0,1296,1752,4,1,1752,0,0,1752,1,0,2,0,2,1,4,6,7,1,4,2,2,576,3,3,2,196,82,0,0,0,0,0,0,2,2010,319900
47,50,48,12822,1,0,1,0,7,5,2003,2003,0,3,2,105,3,1,6,1351,1,0,83,1434,4,1,1518,631,0,2149,1,0,1,1,1,1,3,6,7,1,5,2,2,670,3,3,2,168,43,0,0,198,0,0,0,8,2009,239686
48,20,84,11096,1,0,0,0,8,5,2006,2006,0,3,2,95,3,3,6,24,1,0,1632,1656,4,1,1656,0,0,1656,0,0,2,0,3,1,3,7,7,0,0,2,3,826,3,3,2,0,146,0,0,0,0,0,0,7,2007,249700
49,190,33,4456,1,0,0,0,4,5,1920,2008,0,2,2,85,3,1,1,0,1,0,736,736,3,1,736,716,0,1452,0,0,2,0,2,3,2,8,7,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,6,2009,113000
50,20,66,7742,1,0,0,0,5,7,1966,1966,0,2,2,85,3,1,4,763,1,0,192,955,4,1,955,0,0,955,1,0,1,0,3,1,2,6,7,0,0,1,1,386,3,3,2,0,0,0,0,0,0,0,0,1,2007,127000
51,60,0,13869,1,0,2,0,6,6,1997,1997,0,2,2,95,3,3,6,182,1,0,612,794,3,1,794,676,0,1470,0,1,2,0,3,1,2,6,7,0,0,3,2,388,3,3,2,0,75,0,0,0,0,0,0,7,2007,177000
52,50,52,6240,1,0,0,0,6,6,1934,1950,0,2,2,85,3,1,1,0,1,0,816,816,2,1,816,0,360,1176,0,0,1,0,3,1,2,6,7,1,4,1,2,528,3,3,2,112,0,0,0,0,0,0,400,9,2006,114500
53,90,110,8472,0,0,2,1,5,5,1963,1963,0,1,2,95,3,4,2,104,6,712,0,816,2,0,816,0,0,816,1,0,1,0,2,1,2,5,7,0,0,1,2,516,3,3,2,106,0,0,0,0,0,0,0,5,2010,110000
54,20,68,50271,1,0,1,0,9,5,1981,1987,0,3,2,105,3,4,6,1810,1,0,32,1842,3,1,1842,0,0,1842,2,0,0,1,0,1,3,5,7,1,4,3,3,894,3,3,2,857,72,0,0,0,0,0,0,11,2006,385000
55,80,60,7134,1,0,0,1,5,5,1955,1955,0,2,2,85,3,1,5,384,1,0,0,384,2,1,1360,0,0,1360,0,0,1,0,3,1,2,6,6,1,3,1,2,572,3,3,2,0,50,0,0,0,0,0,0,2,2007,130000
56,20,100,10175,1,0,1,0,6,5,1964,1964,272,2,2,85,3,1,4,490,1,0,935,1425,3,1,1425,0,0,1425,0,0,2,0,3,1,2,7,7,1,4,2,2,576,3,3,2,0,0,0,407,0,0,0,0,7,2008,180500
57,160,24,2645,1,1,0,0,8,5,1999,2000,456,3,2,95,3,1,6,649,1,0,321,970,4,1,983,756,0,1739,1,0,2,1,3,1,3,7,7,0,0,3,2,480,3,3,2,115,0,0,0,0,0,0,0,8,2009,172500
58,60,89,11645,1,0,1,0,7,5,2004,2004,0,3,2,95,3,1,1,0,1,0,860,860,4,1,860,860,0,1720,0,0,2,1,3,1,3,7,7,0,0,2,2,565,3,3,2,0,70,0,0,0,0,0,0,8,2006,196500
59,60,66,13682,1,0,2,0,10,5,2006,2006,1031,4,2,105,3,4,1,0,1,0,1410,1410,4,1,1426,1519,0,2945,0,0,3,1,3,1,3,10,7,1,4,3,3,641,3,3,2,192,0,37,0,0,0,0,0,10,2006,438780
60,20,60,7200,1,0,0,0,5,7,1972,1972,0,2,2,85,3,3,5,632,1,0,148,780,4,1,780,0,0,780,0,0,1,0,2,1,2,4,7,0,0,1,1,352,3,3,2,196,0,0,0,0,0,0,0,1,2008,124900
61,20,63,13072,1,0,0,0,6,5,2004,2004,0,2,2,95,3,1,5,941,1,0,217,1158,4,1,1158,0,0,1158,1,0,1,1,3,1,3,5,7,0,0,1,2,576,3,3,2,0,50,0,0,0,0,0,0,5,2006,158000
62,75,60,7200,1,0,0,0,5,7,1920,1996,0,2,2,85,2,1,1,0,1,0,530,530,2,0,581,530,0,1111,0,0,1,0,3,1,1,6,7,0,0,1,1,288,3,3,0,0,0,144,0,0,0,0,0,3,2007,101000
63,120,44,6442,1,0,1,0,8,5,2006,2006,178,3,2,95,4,2,6,24,1,0,1346,1370,4,1,1370,0,0,1370,0,0,2,0,2,1,3,6,7,1,4,2,2,484,3,3,2,120,49,0,0,0,0,0,0,10,2007,202500
64,70,50,10300,1,0,1,0,7,6,1921,1950,0,2,2,85,3,1,1,0,1,0,576,576,3,1,902,808,0,1710,0,0,2,0,3,1,2,9,7,0,0,1,2,480,3,3,2,12,11,64,0,0,0,0,0,4,2010,140000
65,60,0,9375,1,0,0,0,7,5,1997,1998,573,2,2,95,3,1,6,739,1,0,318,1057,4,1,1057,977,0,2034,1,0,2,1,3,1,3,8,7,0,0,2,2,645,3,3,2,576,36,0,0,0,0,0,0,2,2009,219500
66,60,76,9591,1,0,0,0,8,5,2004,2005,344,3,2,105,3,3,1,0,1,0,1143,1143,4,1,1143,1330,0,2473,0,0,2,1,4,1,3,9,7,1,4,2,3,852,3,3,2,192,151,0,0,0,0,0,0,10,2007,317000
67,20,0,19900,1,0,0,0,7,5,1970,1989,287,2,2,95,3,4,6,912,1,0,1035,1947,2,1,2207,0,0,2207,1,0,2,0,3,1,2,7,6,1,4,2,2,576,3,3,2,301,0,0,0,0,0,0,0,7,2010,180000
68,20,72,10665,1,0,1,0,7,5,2003,2003,167,3,2,95,3,3,6,1013,1,0,440,1453,4,1,1479,0,0,1479,1,0,2,0,3,1,3,7,7,0,0,2,2,558,3,3,2,144,29,0,0,0,0,0,0,6,2007,226000
69,30,47,4608,1,0,0,0,4,6,1945,1950,0,2,3,85,3,1,1,0,1,0,747,747,2,1,747,0,0,747,0,0,1,0,2,1,2,4,7,0,0,1,1,220,3,3,2,0,0,0,0,0,0,0,0,6,2010,80000
70,50,81,15593,1,0,0,0,7,4,1953,1953,0,3,2,85,3,1,4,603,1,0,701,1304,2,1,1304,983,0,2287,0,0,2,0,3,1,2,7,7,1,3,3,2,667,3,3,2,0,21,114,0,0,0,0,0,7,2006,225000
71,20,95,13651,1,0,1,0,7,6,1973,1973,1115,2,3,95,3,4,5,1880,1,0,343,2223,4,1,2223,0,0,2223,1,0,2,0,3,1,2,8,7,2,4,3,2,516,3,3,2,300,0,0,0,0,0,0,0,2,2007,244000
72,20,69,7599,1,0,0,0,4,6,1982,2006,0,2,2,85,3,1,5,565,1,0,280,845,2,1,845,0,0,845,1,0,1,0,2,1,2,4,7,0,0,1,2,360,3,3,2,0,0,0,0,0,0,0,0,6,2007,129500
73,60,74,10141,1,0,1,0,7,5,1998,1998,40,2,2,95,3,1,1,0,1,0,832,832,3,1,885,833,0,1718,0,0,2,1,3,1,2,7,7,1,3,3,2,427,3,3,2,0,94,0,0,291,0,0,0,12,2009,185000
74,20,85,10200,1,0,0,0,5,7,1954,2003,104,2,2,85,3,1,5,320,4,362,404,1086,3,1,1086,0,0,1086,1,0,1,0,3,1,2,6,7,0,0,1,2,490,3,3,2,0,0,0,0,0,0,0,0,5,2010,144900
75,50,60,5790,1,0,0,0,3,6,1915,1950,0,3,3,75,3,1,1,0,1,0,840,840,3,0,840,765,0,1605,0,0,2,0,3,2,2,8,7,0,0,1,1,379,3,3,2,0,0,202,0,0,0,0,0,5,2010,107400
76,180,21,1596,1,0,0,0,4,5,1973,1973,0,2,2,95,3,4,6,462,1,0,0,462,2,1,526,462,0,988,1,0,1,0,2,1,2,5,7,0,0,1,1,297,3,3,2,120,101,0,0,0,0,0,0,11,2009,91000
77,20,0,8475,1,0,1,0,4,7,1956,1956,0,2,2,85,3,1,5,228,1,0,724,952,4,1,952,0,0,952,0,0,1,0,2,1,2,4,7,0,0,1,1,283,3,3,2,0,0,0,0,0,0,0,0,4,2008,135750
78,50,50,8635,1,0,0,0,5,5,1948,2001,0,2,2,85,3,1,4,336,6,41,295,672,2,1,1072,213,0,1285,1,0,1,0,2,1,2,6,6,0,0,1,1,240,3,3,2,0,0,0,0,0,0,0,0,1,2008,127000
79,90,72,10778,1,0,0,0,4,5,1968,1968,0,2,2,85,3,1,1,0,1,0,1768,1768,2,0,1768,0,0,1768,0,0,2,0,4,2,2,8,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2010,136500
80,50,60,10440,1,1,0,0,5,6,1910,1981,0,2,2,85,3,1,1,0,1,0,440,440,3,1,682,548,0,1230,0,0,1,1,2,1,2,5,7,0,0,1,2,440,3,3,2,74,0,128,0,0,0,0,0,5,2009,110000
81,60,100,13000,1,0,0,0,6,6,1968,1968,576,2,3,95,3,1,3,448,1,0,448,896,2,1,1182,960,0,2142,0,0,2,1,4,1,3,8,7,1,4,3,1,509,3,3,2,0,72,0,0,252,0,0,0,6,2009,193500
82,120,32,4500,1,0,0,0,6,5,1998,1998,443,2,3,105,4,1,6,1201,1,0,36,1237,4,1,1337,0,0,1337,1,0,2,0,2,1,2,5,7,0,0,3,2,405,3,3,2,0,199,0,0,0,0,0,0,3,2006,153500
83,20,78,10206,1,0,0,0,8,5,2007,2007,468,2,2,95,3,1,6,33,1,0,1530,1563,4,1,1563,0,0,1563,0,0,2,0,3,1,3,6,7,1,4,2,3,758,3,3,2,144,99,0,0,0,0,0,0,10,2008,245000
84,20,80,8892,1,0,1,0,5,5,1960,1960,66,2,2,85,3,1,1,0,1,0,1065,1065,3,1,1065,0,0,1065,0,0,1,1,3,1,2,6,7,0,0,1,2,461,3,3,2,74,0,0,0,0,0,0,0,7,2007,126500
85,80,0,8530,1,0,1,0,7,5,1995,1996,22,2,2,95,3,1,1,0,1,0,384,384,3,1,804,670,0,1474,0,0,2,1,3,1,2,7,7,1,3,3,2,400,3,3,2,120,72,0,0,0,0,0,700,5,2009,168500
86,60,121,16059,1,0,0,0,8,5,1991,1992,284,3,2,95,3,1,1,0,1,0,1288,1288,4,1,1301,1116,0,2417,0,0,2,1,4,1,3,9,7,1,3,1,2,462,3,3,2,127,82,0,0,0,0,0,0,4,2006,260000
87,60,122,11911,1,0,2,0,6,5,2005,2005,0,3,2,95,3,3,1,0,1,0,684,684,4,1,684,876,0,1560,0,0,2,1,3,1,3,6,7,1,4,3,2,400,3,3,2,100,38,0,0,0,0,0,0,3,2009,174000
88,160,40,3951,1,1,0,0,6,5,2009,2009,76,3,2,95,3,3,1,0,1,0,612,612,4,1,612,612,0,1224,0,0,2,1,2,1,3,4,7,0,0,2,2,528,3,3,2,0,234,0,0,0,0,0,0,6,2009,164500
89,50,105,8470,1,0,1,0,3,2,1915,1982,0,1,1,85,2,1,1,0,1,0,1013,1013,2,0,1013,0,513,1526,0,0,1,0,2,1,1,6,7,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,10,2009,85000
90,20,60,8070,1,0,0,0,4,5,1994,1995,0,2,2,95,3,1,6,588,1,0,402,990,4,1,990,0,0,990,1,0,1,0,3,1,2,5,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,2007,123600
91,20,60,7200,1,0,0,0,4,5,1950,1950,0,2,2,0,0,0,0,0,0,0,0,0,2,1,1040,0,0,1040,0,0,1,0,2,1,2,4,7,0,0,1,2,420,3,3,2,0,29,0,0,0,0,0,0,7,2006,109900
92,20,85,8500,1,0,0,0,5,3,1961,1961,203,2,2,85,3,1,3,600,1,0,635,1235,2,1,1235,0,0,1235,0,0,1,0,2,1,2,6,7,0,0,1,2,480,3,3,2,0,0,0,0,0,0,0,0,12,2006,98600
93,30,80,13360,1,1,1,0,5,7,1921,2006,0,2,3,95,3,1,5,713,1,0,163,876,4,1,964,0,0,964,1,0,1,0,2,1,2,5,7,0,0,1,2,432,3,3,2,0,0,44,0,0,0,0,0,8,2009,163500
94,190,60,7200,1,0,0,0,6,6,1910,1998,0,2,2,85,2,2,3,1046,1,0,168,1214,4,0,1260,1031,0,2291,0,1,2,0,4,2,2,9,7,1,4,1,2,506,3,3,2,0,0,0,0,99,0,0,0,11,2007,133900
95,60,69,9337,1,0,1,0,6,5,1997,1997,0,2,3,95,3,1,6,648,1,0,176,824,4,1,905,881,0,1786,1,0,2,1,3,1,3,7,7,0,0,2,2,684,3,3,2,0,162,0,0,0,0,0,0,5,2007,204750
96,60,0,9765,1,0,2,0,6,8,1993,1993,68,4,3,95,4,1,5,310,1,0,370,680,3,1,680,790,0,1470,0,0,2,1,3,1,2,6,7,1,3,3,2,420,3,3,2,232,63,0,0,0,0,0,480,4,2009,185000
97,20,78,10264,1,0,1,0,7,5,1999,1999,183,3,2,95,3,3,5,1162,1,0,426,1588,4,1,1588,0,0,1588,0,0,2,0,3,1,3,6,7,0,0,2,2,472,3,3,2,158,29,0,0,0,0,0,0,8,2006,214000
98,20,73,10921,1,0,0,0,4,5,1965,1965,48,2,2,85,3,1,3,520,1,0,440,960,2,1,960,0,0,960,1,0,1,0,3,1,2,6,7,0,0,3,1,432,3,3,1,120,0,0,0,0,0,0,0,5,2007,94750
99,30,85,10625,1,0,0,0,5,5,1920,1950,0,2,2,85,3,1,5,108,1,0,350,458,1,0,835,0,0,835,0,0,1,0,2,1,2,5,7,0,0,1,1,366,2,3,2,0,0,77,0,0,0,0,400,5,2010,83000
100,20,77,9320,1,0,1,0,4,5,1959,1959,0,2,2,85,3,1,5,569,1,0,381,950,1,1,1225,0,0,1225,1,0,1,1,3,1,2,6,7,0,0,0,0,0,0,0,2,352,0,0,0,0,0,0,400,1,2010,128950
101,20,0,10603,1,0,1,0,6,7,1977,2001,28,2,2,85,3,2,5,1200,1,0,410,1610,3,1,1610,0,0,1610,1,0,2,0,3,1,3,6,7,2,3,2,2,480,3,3,2,168,68,0,0,0,0,0,0,2,2010,205000
102,60,77,9206,1,0,0,0,6,5,1985,1985,336,3,2,95,3,1,1,0,1,0,741,741,2,1,977,755,0,1732,0,0,2,1,3,1,3,7,7,1,3,3,2,476,3,3,2,192,46,0,0,0,0,0,0,6,2010,178000
103,90,64,7018,1,0,0,0,5,5,1979,1979,0,2,1,0,0,0,0,0,0,0,0,0,2,1,1535,0,0,1535,0,0,2,0,4,2,2,8,7,0,0,1,2,410,3,3,2,0,0,0,0,0,0,0,0,6,2009,118964
104,20,94,10402,1,0,1,0,7,5,2009,2009,0,2,2,95,3,1,1,0,1,0,1226,1226,4,1,1226,0,0,1226,0,0,2,0,3,1,3,6,7,0,0,2,3,740,3,3,2,0,36,0,0,0,0,0,0,5,2010,198900
105,50,0,7758,1,0,0,0,7,4,1931,1950,600,2,1,85,3,1,2,224,1,0,816,1040,4,1,1226,592,0,1818,0,0,1,1,4,1,2,7,7,2,3,1,1,240,3,3,2,0,0,0,0,184,0,0,0,6,2007,169500
106,60,75,9375,1,0,0,0,8,5,2003,2004,768,3,2,105,3,1,1,0,1,0,1053,1053,4,1,1053,939,0,1992,0,0,2,1,3,1,3,9,7,1,4,2,2,648,3,3,2,140,45,0,0,0,0,0,0,8,2008,250000
