Id,SalePrice
2111,143576
2112,133142
2113,117200
2114,116520
2115,139800
2116,117230
2117,138452
2118,117840
2119,119405
2120,116980
2121,103262
2122,122294
2123,106410
2124,187720
2125,147048
2126,197760
2127,146780
2128,134400
2129,116705
2130,148510.76
2131,133210
2132,109946.24
2133,109193.6
2134,117060
2135,105648
2136,48360
2137,119796
2138,142610
2139,170922
2140,132212
2141,142500
2142,156951
2143,154127.84
2144,118366.62
2145,146312
2146,165790
2147,171760
2148,133764
2149,143218
2150,301700
2151,125964
2152,144000
2153,144330
2154,57682
2155,118400
2156,202720
2157,232403.8
2158,232240
2159,259193.8
2160,164738
2161,286155.14
2162,471660.16
2163,314005.2
2164,283080.88
2165,182469
2166,146840
2167,187614
2168,219200
2169,193640
2170,234340
2171,149400
2172,156040
2173,183931.2
2174,229370
2175,356680.96
2176,318620
2177,275480
2178,216656.48
2179,149000
2180,188000
2181,184500
2182,206880
2183,201564.16
2184,130390
2185,140520
2186,155140
2187,159575
2188,149240
2189,150984
2190,54830
2191,79029.44
2192,99222
2193,87220
2194,94860
2195,98770
2196,116870
2197,119420
2198,144056
2199,178270
2200,122808
2201,140890
2202,168130
2203,134090
2204,137716
2205,114520
2206,139380
2207,242138
2208,223650
2209,156358
2210,103720
2211,119180
2212,118096
2213,90760
2214,163395
2215,101196
2216,131599
2217,45024
2218,106410
2219,100620
2220,103816
2221,392788.72
2222,204140
2223,301283
2224,198620
2225,135893.4
2226,194460
2227,238400
2228,247480
2229,218805.6
2230,167500
2231,212365.6
2232,182925
2233,173520
2234,262663.18
2235,203430
2236,289737.7
2237,316210
2238,206300
2239,104500
2240,161444
2241,172404
2242,136168
2243,163110
2244,90820
2245,90920
2246,122994
2247,112000
2248,117470
2249,125390
2250,128880
2251,122170
2252,199520
2253,181815
2254,174092
2255,198660
2256,182927.1
2257,204760
2258,176220
2259,170338
2260,160600
2261,179958
2262,179986
2263,297951.12
2264,424284.2
2265,172160
2266,273937.92
2267,277960
2268,382746.76
2269,160960
2270,186232
2271,283736
2272,212742
2273,156590
2274,165638
2275,143000
2276,112328
2277,174600
2278,153410
2279,145100
2280,135985
2281,177821.28
2282,180682
2283,83640
2284,116160
2285,130828
2286,110250
2287,332570
2288,251816
2289,431480
2290,394250
2291,295293.72
2292,370729.08
2293,395000
2294,398825
2295,450129.24
2296,408040
2297,332172
2298,333240
2299,387419
2300,337466
2301,281826.4
2302,235765.28
2303,227310
2304,250069
2305,195922
2306,195844
2307,194908
2308,209880
2309,273365.84
2310,218828.56
2311,187890
2312,168908.34
2313,166776.4
2314,181805.1
2315,172506.8
2316,206850
2317,186609.44
2318,163740.04
2319,179996.16
2320,190515
2321,263214.16
2322,161641.1
2323,204530
2324,161000
2325,209880
2326,156020
2327,261400
2328,208800
2329,181130
2330,172438.5
2331,343064
2332,436902.96
2333,328040
2334,282360
2335,258934
2336,289297.04
2337,210924
2338,290626.16
2339,226670
2340,328245.88
2341,212960
2342,261459.6
2343,208968
2344,227980
2345,249711
2346,212000
2347,210924
2348,212260
2349,160270
2350,266450
2351,227510
2352,227440
2353,206120
2354,104500
2355,148551.4
2356,172280
2357,203202.64
2358,187340
2359,143650
2360,114750
2361,140788
2362,310018
2363,163042
2364,138192
2365,225875.04
2366,173470
2367,210300
2368,209568
2369,210090
2370,176460
2371,169690
2372,193510
2373,280388.02
2374,294026.48
2375,260760
2376,251804.96
2377,276540
2378,133020
2379,149256
2380,149690
2381,169100
2382,175780
2383,212972
2384,256200
2385,156930
2386,129950
2387,140300
2388,91540
2389,107020
2390,118380
2391,129910
2392,115022.88
2393,147214
2394,173000
2395,240080
2396,159180
2397,223510
2398,84001.88
2399,41621.32
2400,43872.42
2401,117000
2402,143740
2403,143088
2404,146400
2405,172584
2406,125750
2407,155000
2408,148110
2409,141000
2410,160490
2411,119172
2412,151086
2413,133500
2414,149622
2415,135813.4
2416,123494
2417,141570
2418,115650
2419,144770
2420,124640
2421,157451
2422,138465
2423,139715
2424,179500
2425,208500
2426,120700
2427,145412
2428,187634
2429,114194
2430,125690
2431,112200
2432,154498
2433,141000
2434,154660
2435,175420
2436,65332
2437,144530
2438,110230
2439,84838.4
2440,135236
2441,103222.8
2442,117290
2443,115100
2444,130700
2445,89280
2446,151220
2447,248142
2448,148710.76
2449,145576
2450,166320
2451,111080
2452,167770
2453,65176
2454,130806
2455,110065
2456,150934.16
2457,125990
2458,117240
2459,107920
2460,158150
2461,125170
2462,134240
2463,116840
2464,144100
2465,125570
2466,115800
2467,157300
2468,100320
2469,85230
2470,239480
2471,215060
2472,209860
2473,118386
2474,92810
2475,179940
2476,110040
2477,136480
2478,172440
2479,101560
2480,115350
2481,145590
2482,135474
2483,125320
2484,113850
2485,130375
2486,145697
2487,211220
2488,144216
2489,133960
2490,163942
2491,88960
2492,185690
2493,126600
2494,168840
2495,69567.34
2496,241180
2497,139600
2498,125380
2499,82840
2500,134240
2501,145601
2502,144260
2503,51050
2504,219770
2505,238023.72
2506,249274
2507,278920
2508,250220
2509,267732
2510,205400
2511,191107.3
2512,227026.6
2513,233900
2514,228080
2515,148430
2516,155406
2517,128248
2518,123499
2519,223334.8
2520,212602
2521,187960
2522,235660
2523,128880
2524,116230
2525,149500
2526,128320
2527,114150
2528,134352
2529,129000
2530,130588
2531,226510
2532,204800
2533,186340
2534,241980
2535,286400
2536,205700
2537,197760
2538,186296
2539,205886
2540,173726.36
2541,186024
2542,192748
2543,124440
2544,135202
2545,135774
2546,143680
2547,142500
2548,143672
2549,157940
2550,489123.64
2551,145540
2552,116250
2553,79089.44
2554,123708
2555,115650
2556,94960
2557,120166
2558,198730
2559,144650
2560,116950
2561,128286
2562,141122.62
2563,123220
2564,161120
2565,109492
2566,180050
2567,121220
2568,165022
2569,208460
2570,104200
2571,185165.2
2572,220854.72
2573,292150
2574,282560
2575,121180
2576,137340
2577,182868
2578,119345
2579,82296
2580,139500
2581,147930
2582,148062
2583,248660
2584,146820
2585,153950
2586,188884
2587,233600
2588,179952
2589,149740
2590,255713.6
2591,189960
2592,224480
2593,226530
2594,176350
2595,192930
2596,314560
2597,183485
2598,269200
2599,314898.94
2600,134925.92
2601,156473.98
2602,88390
2603,91040
2604,80580
2605,82080
2606,135540
2607,173740
2608,256330
2609,183970.8
2610,127708
2611,190200
2612,153056.1
2613,124624
2614,124322
2615,134040
2616,155000
2617,157094
2618,196104
2619,257080
2620,191200
2621,181580
2622,172265
2623,241640
2624,206050
2625,361336
2626,160526
2627,192630
2628,339346.34
2629,688200
2630,338010.06
2631,479526.92
2632,339201.66
2633,323139.52
2634,345900
2635,146880
2636,138046
2637,145764
2638,274440
2639,174480
2640,126148
2641,114750
2642,206835
2643,104800
2644,122140
2645,121754
2646,89140
2647,80480
2648,126890
2649,149321
2650,130828
2651,182375
2652,538633.18
2653,228804
2654,255422
2655,365304.16
2656,296330
2657,321118.3
2658,243960
2659,297228.16
2660,330940
2661,329760
2662,361850
2663,262357.08
2664,275087.92
2665,364614.6
2666,271563.2
2667,164411
2668,167384.2
2669,182995.4
2670,282618.92
2671,167389.5
2672,168322.4
2673,176658.3
2674,175012.3
2675,215951.2
2676,195790
2677,189140
2678,277680
2679,271850
2680,249200
2681,446648.88
2682,329752
2683,425276.34
2684,287891.12
2685,293160
2686,284454.76
2687,318780
2688,227040
2689,212060
2690,478418.74
2691,205280
2692,118720
2693,212304
2694,104402.5
2695,179888
2696,186334
2697,172608
2698,204755
2699,176040
2700,180966
2701,159758.54
2702,135750
2703,136129.6
2704,143980
2705,133554
2706,113376.92
2707,108978
2708,134815
2709,51622
2710,124562
2711,329040
2712,335220
2713,186364.22
2714,147400
2715,168500
2716,164772
2717,195070
2718,206740
2719,173840
2720,140000
2721,127580
2722,153840
2723,131240
2724,125924
2725,126980
2726,132500
2727,147140
2728,183962
2729,153650
2730,145801
2731,126764
2732,119100
2733,166640
2734,128226
2735,134040
2736,138010
2737,124522
2738,135803.9
2739,158260
2740,143430
2741,159720
2742,159580
2743,166844
2744,144068
2745,147120
2746,154170
2747,128060
2748,128540
2749,125040
2750,139120
2751,138270
2752,283591.5
2753,168450
2754,210880
2755,125460
2756,101630
2757,35039.74
2758,120068
2759,210000
2760,141368
2761,120400
2762,155500
2763,165748
2764,141572
2765,246816
2766,153237.56
2767,93308
2768,101280
2769,165238
2770,138586
2771,113170
2772,133519.5
2773,112720
2774,139200
2775,139320
2776,210000
2777,103548
2778,126014
2779,143004
2780,119268
2781,107770
2782,81484
2783,115940
2784,132650
2785,150982
2786,89200
2787,116840
2788,115820
2789,164500
2790,106385
2791,127420
2792,87611.18
2793,128906
2794,105000
2795,119400
2796,115775
2797,208840
2798,144156
2799,116730
2800,53638
2801,103690
2802,132000
2803,142884
2804,136027.6
2805,96416
2806,115715
2807,127778
2808,128116
2809,124522
2810,129790
2811,184664
2812,142500
2813,143136
2814,146298
2815,85480
2816,300920
2817,120850
2818,140089.2
2819,213232
2820,119753
2821,96760
2822,182540
2823,274450.4
2824,176180
2825,132925.6
2826,152360
2827,139440
2828,204420
2829,173960
2830,203111.12
2831,186943
2832,240000
2833,251000
2834,224975.6
2835,213573.92
2836,185467
2837,233396
2838,150750
2839,187560
2840,177320
2841,190528
2842,235540
2843,176600
2844,150120
2845,141220
2846,190416
2847,211160
2848,179952
2849,223352.5
2850,249320
2851,280507.5
2852,202786
2853,253008.2
2854,155914
2855,185622
2856,224357.5
2857,181502
2858,205772
2859,157000
2860,127270
2861,104121.44
2862,220840
2863,141050
2864,277960
2865,141580
2866,130000
2867,104904
2868,101400
2869,129058.96
2870,161284
2871,88820
2872,47116.42
2873,102480
2874,137701
2875,86820
2876,144200
2877,153810.96
2878,137400
2879,188700
2880,97732
2881,139651.84
2882,163585
2883,146874
2884,228716
2885,181770
2886,180438
2887,83430
2888,130960
2889,45470.44
2890,84280
2891,139591.14
2892,35031.52
2893,108930
2894,77909.58
2895,257720
2896,243800
2897,190886
2898,143220
2899,227450
2900,132500
2901,157670
2902,205360
2903,311710
2904,368312.92
2905,123620
2906,201976
2907,114910
2908,124296
2909,143000
2910,85844
2911,88390
2912,159920
2913,80240
2914,78030
2915,87510
2916,85390
2917,176350
2918,94620
2919,195140
